document_name,chunk
wong. 2010,"Understanding skew deviation and a new clinical test to  differentiate it from trochlear nerve palsy Agnes M. F. Wong, MD, PhD Department of Ophthalmology and Vision Science, The Hospital for Sick Children and University  of Toronto, Toronto, Ontario, Canada SUMMARY Skew deviation is a vertical strabismus caused by a supranuclear lesion in the posterior fossa.  Because skew deviation may clinically mimic trochlear nerve palsy, it is sometimes difficult to  differentiate the 2 conditions. In this review we compare the clinical presentations of skew  deviation and trochlear nerve palsy and examine the pathophysiology that underlies skew  deviation. We then describe a novel clinical test—the upright–supine test—to differentiate skew  deviation from trochlear nerve palsy: a vertical deviation that decreases by ≥50% from the upright  to supine position suggests skew deviation and warrants investigation for a lesion in the posterior  fossa as the cause of vertical diplopia. Skew deviation is a vertical strabismus caused by supranuclear lesions. It is often associated  with ocular torsion and head tilt, which together constitute the ocular tilt reaction.1–4 Skew  deviation is often the initial manifestation of diseases that affect the brainstem, cerebellum,  or peripheral vestibular system.4–10 Because both skew deviation and trochlear nerve palsy  may result from intracranial lesions or trauma, and because some skew deviations may  clinically mimic trochlear nerve palsy, differentiating these 2 conditions can be challenging.  Understanding skew deviation remains difficult, partly because it requires knowledge of the  underlying anatomy and pathophysiology. In this review, we first compare the clinical  presentation of skew deviation versus trochlear nerve palsy. We then focus on the  pathophysiologic mechanism of skew deviation and examine some current evidence that  shows that skew deviation results from an imbalance of the utriculo-ocular pathway. We then  present a novel upright–supine test that can be used clinically to differentiate skew deviation  from trochlear nerve palsy at the bedside. Clinical Presentation Skew deviation was first induced experimentally in animals by Magendie11 and later  Hertwig,12 who produced skew deviation in cats by sectioning the middle cerebellar  peduncle."
wong. 2010,"It was first observed in humans with cerebellar tumors by Stewart and Holmes in  1904.13 Skew deviation is a vertical misalignment of the visual axes caused by a disturbance  of supranuclear inputs as a result of lesions in the brainstem, cerebellum, or peripheral  Reprint requests: Dr. Agnes Wong, Department of Ophthalmology and Vision Sciences, The Hospital for Sick Children, 555  University Avenue, Toronto, Ontario, Canada M5G 1X8 (agnes.wong@utoronto.ca).  J AAPOS . Author manuscript; available in PMC 2016 December 13. Published in final edited form as: J AAPOS . 2010 February ; 14(1): 61–67. doi:10.1016/j.jaapos.2009.11.019. CIHR Author Manuscript CIHR Author Manuscript CIHR Author Manuscript vestibular system (ie, the inner ear and its afferent projections). The vertical misalignment  may be comitant or incomitant. Rarely, it alternates with eye position (eg, right hypertropia  on right gaze and left hypertropia on left gaze).14,15 Skew deviation often is associated with  other neurologic signs and may be part of the ocular tilt reaction, which consists of a triad of  skew deviation, ocular torsion, and head tilt.1–3,10 In ocular tilt reaction, the pathologic head  tilt is ipsilateral to the hypotropic eye, and the ocular torsion is such that the upper poles of  both eyes rotate in the same direction as that of the head tilt (ie, the hypotropic eye is  excyclotorted and the hypertropic eye incyclotorted).9 This is in contrast to physiologic  counterroll (see below), during which the upper poles of both eyes rotate in the opposite  direction to that of the head tilt. In skew deviation, the ocular torsion may be conjugate or dissociated between the 2 eyes, or  it may be present in one eye only. Acutely, torsional nystagmus is commonly present.  Patients with ocular tilt reaction also show a deviation of the subjective visual vertical— when presented with an earth-vertical line in a dark room in the absence of other visual cues,"
wong. 2010,"patients perceive the line as tilted toward the same side as the head tilt.9 Skew deviation and  ocular tilt reaction are most commonly caused by ischemia, infarction, multiple sclerosis,  tumor, trauma, abscess, hemorrhage, syringobulbia, and neurosurgical procedures.4–6 They  can also be a finding in the setting of raised intracranial pressure.16 Distinguishing From Trochlear Nerve Palsy Trochlear nerve palsy is commonly diagnosed clinically with the “Park’s three-step test.”17  In contrast, the vertical misalignment in skew deviation does not follow any set patterns; it  may be comitant or incomitant, or it may even alternate with gaze direction.7,14,18 Some  skew deviations are known to mimic trochlear nerve palsy during the 3-step test—the  magnitude of hypertropia in skew deviation may increase with ipsilateral head tilt; however,  it may also increase with contralateral head tilt, or it may not change with head tilt at all. 19,20 Conversely, trochlear nerve palsy with spread of comitance may simulate a comitant  skew deviation because in both conditions the head is usually tilted contralateral to the side  of the hypertropic eye. However, the head tilt in trochlear nerve palsy is a compensatory  mechanism to minimize the amount of hypertropia, whereas in skew deviation it reflects the  underlying pathologic mechanism (see Pathophysiology section). Because skew deviation and trochlear nerve palsy may both result from brain trauma or from  lesions in the posterior fossa,21 and because skew deviation can mimic a trochlear nerve  palsy, indirect ophthalmoscopy is useful to differentiate these 2 conditions—the fundus is  excyclotorted in the hypertropic eye in trochlear nerve palsy, but it is incyclotorted in the  hypertropic eye in skew deviation if abnormal torsion is present. The fundus of the  hypotropic eye in skew deviation is excyclotorted.9,22,23 In addition, other neurologic signs  usually are present in skew deviation but not in trochlear nerve palsy (unless it is caused by a  brain trauma or lesion in the brainstem), including gaze-evoked nystagmus, gaze palsy,"
wong. 2010,"dysarthria, ataxia, and hemiplegia.24 The clinical characteristics of skew deviation and  trochlear nerve palsy are summarized in Table 1.Wong Page 2 J AAPOS . Author manuscript; available in PMC 2016 December 13. CIHR Author Manuscript CIHR Author Manuscript CIHR Author Manuscript Lesion Location Acute peripheral vestibulopathy affecting the vestibular organ or its nerve (eg, vestibular  neuritis),2,25,26 diseases of the vestibular nuclei in the medulla (eg, lateral medullary  syndrome),27 pons,28 medial longitudinal fasciculus (eg, internuclear ophthalmoplegia),29,30  midbrain (eg, dorsal midbrain syndrome),6,14,31–33 as well as the diencephalon (eg, thalamic  infarcts)34 have been reported to cause skew deviation or ocular tilt reaction. It has been  attributed to asymmetric disruption of the utriculo-ocular pathway. The utriculo-ocular  pathway has usually been assumed to be disynaptic—primary afferents from otolithic  receptors of the utricle in the inner ear project to second-order neurons in the vestibular  nuclei, the axons of which then project to the oculomotor and trochlear nuclei via the medial  longitudinal fasciculus.1,6 There is growing evidence, however, that this disynaptic pathway  is weak and that polysynaptic pathways via the cerebellum play a more important role.35  Lesions in the vestibular periphery, vestibular nuclei, medulla, and the caudal pons cause  ipsilesional hypotropia and head tilt. Because otolithic projections from the vestibular nuclei  cross the midline at the level of the pons to ascend along the medial longitudinal fasciculus,  lesions in the rostral pons and midbrain cause contralesional hypotropia and head tilt (eg,  internuclear ophthalmoplegia or midbrain lesions).9 Typically, the ocular torsion in skew deviation is conjugate in both eyes for most lesion  locations (ie, the hypotropic eye excyclotorts and the hypertropic eye incyclotorts)9;"
wong. 2010,"however, in lateral medullary syndrome, the ocular torsion is usually monocular (or  dissociate)—the hypotropic eye is excyclotorted but incyclotorsion is absent (or small) in the  hypertropic eye.27 Ascertaining whether abnormal torsion is present in one or both eyes and  whether it is conjugate is clinically useful to differentiate between skew deviation  (supranuclear) and nuclear-fascicular trochlear nerve palsy caused by a lesion in the  midbrain. An unilateral trochlear nerve palsy is associated with monocular torsion, whereas  a midbrain skew deviation is associated with binocular, conjugate torsion (ie, the hypotropic  eye excyclotorts and the hypertropic eye incyclotorts).9 In unilateral trochlear nerve palsy,  the pathologic monocular torsion usually presents as excyclotorsion of the paretic  hypertropic eye only; however, excyclotorsion (12°–14°) of the nonparetic hypotropic eye  only has also been documented.36 In the case of bilateral trochlear nerve palsy, the torsion is  disjunctive with excyclotorsion in both eyes, but it is conjugate in skew deviation. Damage to the cerebellum also has been implicated as a cause of skew deviation when the  middle cerebellar peduncle was sectioned in cats,11,12 but adjacent tegmental structures in  the brainstem may have been damaged also. Others5–7 have attributed skew deviation to  cerebellar damage from surgery5,13 or cerebellar diseases on the basis of clinical findings. 6,7,13 In most cases,5–7,13,14,18,37 however, brainstem involvement had not been excluded by  either neuroimaging or pathological correlation. To document that a discrete lesion in the  cerebellum alone can cause skew deviation, we described in detail the clinical course of 5  patients with skew deviation caused by focal cerebellar lesions. Their lesions were identified  by magnetic resonance imaging (MRI) with or without pathological correlation.10 These  patients either had a vascular tumor or infarction in the cerebellar hemisphere or vermis or  both.Wong Page 3 J AAPOS ."
wong. 2010,"Author manuscript; available in PMC 2016 December 13. CIHR Author Manuscript CIHR Author Manuscript CIHR Author Manuscript Pathophysiology In normal humans, when the head is tilted about the naso-occipital axis, the utricles are  activated primarily to generate compensatory torsional eye movements in a direction  opposite the head tilt.38–40 This torsional vestibulo-ocular reflex, termed ocular counterroll,  however, compensates for only about 10% to 20% of the head tilt (eg, a 20° head tilt toward  the right shoulder will result in the upper pole of both eyes to rotate 2° to 4° toward the left  shoulder).38–40 Static ocular counterroll is important from a clinical standpoint because this  otolith-driven reflex forms the basis of the Bielschowsky head-tilt test and it explains the  compensatory head tilt in patients with trochlear nerve palsy. In normal humans, for  example, during right head tilt, the static ocular counterroll activates the right superior  oblique and superior rectus muscles, causing the right eye to incyclotort and elevate slightly. 41 Simultaneously, the static ocular counterroll activates the left inferior oblique and inferior  rectus muscles, causing the left eye to excyclotort and depress slightly.41 This reflexive  vertical movement of the eyes is partly compensatory to downward translation of the right  eye and upward translation of the left eye relative to the earth-horizontal plane due to the  head tilt.41 In a patient with right trochlear nerve palsy, however, during right head tilt, the elevating  action of the superior rectus is unopposed by the palsied superior oblique in the right eye;  thus, the right hypertropia increases during right (ipsilateral) head tilt, constituting a positive  Bielschowsky head-tilt test (see also Jampolsky).42 Conversely, these patients often adopt a  compensatory left (contralateral) head tilt to minimize their vertical strabismus and diplopia.  Recently, however, there is some controversy about the existence of ocular counterroll.43 We  provided further evidence to confirm its existence by demonstrating that the magnitude of"
wong. 2010,"ocular counterroll responses is dependent on the age of subjects, viewing distance, target  characteristics, and whether or not the target moves simultaneously with the head.44,45 The ocular tilt reaction is a pathological synkinetic triad of skew deviation, ocular torsion,  and head tilt. It has been attributed to lesions in the vestibular organ and its nerve, and  central connections within the brainstem or cerebellum that asymmetrically disrupt the  utriculo-ocular pathway. The utriculo-ocular reflex originates in the maculae of the otolith  organ, the utricle, which act as linear accelerometers. The hair cells on the maculae of the  utricles have a wide range of polarization vectors that are sensitive to head motion in  different directions, and they are oriented roughly in the horizontal plane. Thus the utricles  normally mediate the linear or translational vestibulo-ocular reflex during translational  motion of the head (ie, right-and-left and fore-and-aft head movements), as well as ocular  counterroll during static head tilt (ie, head position with respect to gravity). Normally,  balanced signals from the utriculo-ocular pathway are used to align the head’s vertical axis  and the eye’s vertical meridian with absolute earth-vertical (gravity) when stationary.  Damages to the utriculo-ocular pathway lead to an erroneous internal estimate of absolute  earth-vertical (gravity); that is, the brain erroneously computes that the head is tilted despite  that fact that the head is in an upright position and that the utricles lie in the horizontal plane.  The triad of head tilt, skew deviation, and abnormal torsion seen in ocular tilt reaction  represents a righting response, the goal of which is to realign the vertical axes of both the  head and the eyes to the internal estimate of, albeit erroneous, absolute earth-vertical.4,46Wong Page 4 J AAPOS . Author manuscript; available in PMC 2016 December 13. CIHR Author Manuscript CIHR Author Manuscript CIHR Author Manuscript Abnormal static ocular torsion has been demonstrated in patients with skew deviation when  they look straight ahead; however, it is unknown whether, or how, torsion is altered during  dynamic eye movements or during different gaze directions and whether the relationship of"
wong. 2010,"ocular torsion with horizontal and vertical eye position (ie, Listing’s law) is intact in skew  deviation. We found that in skew deviation, torsion was abnormal during fixation and  dynamic eye movements (saccades) to different gaze directions. Interestingly, we also found  that the relationship of ocular torsion with horizontal and vertical eye position was disrupted  acutely, but not when the skew deviation is chronic (ie, ≥4 weeks’ duration), suggesting that  the neural circuitry underlying Listing’s law is adaptive and is capable of restoring the law  with time. What is the functional advantage of restoring Listing’s law? It enhances motor  efficiency by minimizing the rotational eccentricity of the eye,47,48 thereby reducing the  work load on the eye muscles against their elastic recoiling force. In addition, by keeping the  eye near the center of its torsional range, Listing’s law allows the eye to respond quickly to  targets that may appear unpredictably from any direction.49,50 New Pathophysiologic Evidence Almost 3 decades have passed since imbalance of the utriculo-ocular reflex was first  proposed as responsible for skew deviation and ocular tilt reaction.1,6 However, surprisingly  few studies have quantitatively documented abnormal otolith function in these patients. 10,51,52 As discussed, the utricles normally mediate the linear vestibulo-ocular reflex during  translational motion of the head as well as ocular counterroll during static head tilt in  response to a change in head position with respect to gravity. We postulate that if skew  deviation is indeed caused by imbalance of otolithic projections to ocular motor neurons,  then in patients with skew deviation, the ocular counterroll would be abnormal, the linear  vestibular ocular reflex would be abnormal, and the abnormal torsion and vertical strabismus  might be head position dependent. In our first study, we investigated whether static ocular counterroll responses are abnormal in  patients with skew deviation.10 Three patients with skew deviation caused by cerebellar  lesions and 10 normal subjects were tested. We measured their ocular responses to static,  passive head tilts of 30° toward each shoulder during monocular viewing. We found that  static ocular counterroll gains were asymmetrical in each patient. This gain asymmetry"
wong. 2010,"between the eyes (right vs left) or between directions of head tilt (toward right vs left  shoulder) or both provides evidence that imbalance of the utriculo-ocular reflex leads to  cerebellar skew deviation. In a second study, we investigated whether linear vestibulo-ocular reflex responses are  abnormal in patients with skew deviation.53 Six patients with skew deviation caused by  brainstem or cerebellar lesions and 10 normal subjects were studied. All subjects underwent  brief, sudden, interaural translations of the head (ie, head heaves)54 while continuously  fixating an earth-fixed target monocularly. We found that linear vestibulo-ocular reflex  sensitivities (the ratio of peak rotational eye velocity to peak linear head velocity) and  velocity gains (the ratio of peak actual to geometrically ideal rotational eye velocities) in  patients were decreased by 56% to 62% in both eyes as compared to normal subjects. This  binocular reduction in linear vestibulo-ocular reflex responses was asymmetric—the Wong Page 5 J AAPOS . Author manuscript; available in PMC 2016 December 13. CIHR Author Manuscript CIHR Author Manuscript CIHR Author Manuscript magnitude of reduction differed between eyes by 37% to 143% for sensitivities, and by 36%  to 94% for velocity gains. We concluded that the binocular but asymmetric reduction in  linear vestibulo-ocular reflex sensitivity and velocity gain provides additional evidence that  imbalance in the utriculo-ocular pathway is a mechanism of skew deviation. A New Clinical Test In a third study, we investigated whether the abnormal ocular torsion and vertical  misalignment in skew deviation differed in the upright vs supine positions.55 We tested 10  patients with skew deviation, 14 with unilateral peripheral trochlear nerve palsy, and 12  normal participants. Skew deviation was defined as: (1) a vertical misalignment (with or  without head tilt or fundus torsion), the pattern of which was inconsistent with that found in  palsy of one or more cyclovertical muscles; (2) presence of lesions in the posterior fossa on  MRI; and (3) presence of neurologic symptoms and signs. Unilateral peripheral trochlear"
wong. 2010,"nerve palsy was defined as: (1) deficient depression of the hypertropic eye in adduction; (2)  incomitant hypertropia which increased with adduction of the hypertropic eye, and with  head tilt toward the hypertropic eye; (3) presence of objective or subjective  excyclodeviation, ie, torsional diplopia; (4) absence of any neurologic symptoms and signs  suggestive of lesions in the trochlear nucleus or fascicle; and (5) negative MRI. Ocular  torsion was measured by double Maddox rods while the subject fixated on a small white  pen-light located at a distance of 1 m in the midsagittal plane at eye level. Vertical  misalignment was measured by the prism and alternate cover test while the subject fixated  on a single letter e of optotype size 3/32 inch (12-point font size) at a distance of 1 m away. We found that in skew deviation abnormal torsion and vertical misalignment are head  position-dependent—they decreased substantially or disappeared completely when the head  changed from an upright position to a supine position. In contrast, in unilateral peripheral  trochlear nerve palsy, there were little or no changes in the torsional or vertical deviation  between the 2 head positions. Torsion was decreased by 83% in skew deviation, by 2% in  trochlear nerve palsy, and by 6% in normal subjects ( p < 0.001). Similarly, vertical  misalignment was decreased by 74% in skew deviation, increased by 5% in trochlear nerve  palsy, and increased by 6% in normal subjects ( p < 0.001).55 The head position-dependent changes in torsion and vertical misalignment we55  demonstrated provide the basis of additional tests that could be used clinically to  differentiate skew deviation from trochlear nerve palsy. On the basis of the results from our  previous study,55 we sought to investigate further the sensitivity and specificity of this new  upright–supine test by defining a positive test as one in which the vertical misalignment  decreased by ≥50% from the upright to supine position. By using the same definitions for  skew deviation and trochlear nerve palsy as in our previous study,55 to date we have"
